Cliente,ID,Gasto_Mensual,Estado_Seguro
Sacha Gato Noble,483444X,213421,RECHAZADO (Riesgo Salud/Financiero)
Lucho Nutria Noble,75209X,687024,APROBADO
Lucho Zorro Austral,659224X,445420,APROBADO
Coty Condor Sigiloso,151389X,823847,APROBADO
Matias Condor Salvage,550792X,612493,RECHAZADO (Riesgo Salud/Financiero)
Maria Perro Veloz,478885X,648455,APROBADO
Sacha Leon Salvage,121602X,377224,RECHAZADO (Riesgo Salud/Financiero)
Juan Puma Audaz,51520X,805556,RECHAZADO (Riesgo Salud/Financiero)
Juan Ballena Rojo,371424X,214464,APROBADO
Pepe Puma Gigante,142218X,852693,APROBADO
Pancha Condor Sigiloso,814153X,883642,APROBADO
Lucho Zorro Noble,395769X,413753,APROBADO
Francisco Condor Veloz,221090X,754926,APROBADO
Francisco Leon Gigante,136395X,359354,APROBADO
Juan Leon Gigante,318723X,574777,RECHAZADO (Riesgo Salud/Financiero)
Sacha Ballena Gigante,183909X,712514,APROBADO
Sacha Perro Veloz,335432X,816990,APROBADO
Sacha Gato Gigante,253071X,610506,RECHAZADO (Riesgo Salud/Financiero)
Coty Zorro Audaz,53777X,601816,APROBADO
Pepe Puma Austral,500885X,827289,APROBADO
Pepe Gato Noble,911874X,418650,APROBADO
Francisco Perro Rojo,216308X,276777,RECHAZADO (Riesgo Salud/Financiero)
Pepe Ballena Veloz,7060X,316155,APROBADO
Pepe Gato Rojo,970638X,81396,RECHAZADO (Riesgo Salud/Financiero)
Sacha Nutria Salvage,729475X,464393,APROBADO
Matias Ballena Veloz,904053X,723020,APROBADO
Sacha Puma Rojo,478686X,275439,RECHAZADO (Riesgo Salud/Financiero)
Lucho Leon Noble,419433X,464071,APROBADO
Pepe Ballena Rojo,57951X,19780,APROBADO
Matias Puma Gigante,892716X,73159,APROBADO
Pancha Nutria Austral,598905X,735991,APROBADO
Lucho Puma Noble,697405X,87591,APROBADO
Pancha Gato Austral,979443X,26320,APROBADO
Juan Puma Audaz,968918X,617687,RECHAZADO (Riesgo Salud/Financiero)
Lucho Zorro Noble,669977X,817402,RECHAZADO (Riesgo Salud/Financiero)
Sacha Condor Audaz,264159X,178226,APROBADO
Francisco Huemul Rojo,380003X,876260,RECHAZADO (Riesgo Salud/Financiero)
Juan Gato Austral,592969X,473551,APROBADO
Sacha Perro Noble,788321X,693126,APROBADO
Pancha Huemul Noble,362198X,40345,APROBADO
Matias Gato Salvage,850057X,466868,APROBADO
Sacha Nutria Noble,850924X,845803,APROBADO
Pepe Leon Salvage,177753X,640889,APROBADO
Juan Gato Veloz,886639X,300022,APROBADO
Pepe Leon Rojo,217028X,627703,APROBADO
Pepe Puma Gigante,607438X,307700,APROBADO
Juan Puma Audaz,115662X,602312,APROBADO
Maria Perro Gigante,925556X,885494,RECHAZADO (Riesgo Salud/Financiero)
Coty Huemul Audaz,420546X,701234,RECHAZADO (Riesgo Salud/Financiero)
Coty Nutria Audaz,743492X,299697,APROBADO
Pancha Ballena Austral,112592X,880672,APROBADO
Lucho Puma Noble,279890X,657502,APROBADO
Maria Nutria Gigante,980124X,495680,APROBADO
Pepe Huemul Austral,342202X,854406,APROBADO
Lucho Gato Veloz,555940X,353768,RECHAZADO (Riesgo Salud/Financiero)
Matias Nutria Salvage,780858X,260774,APROBADO
Sacha Gato Noble,782347X,813988,APROBADO
Pancha Puma Salvage,659482X,376496,APROBADO
Sacha Zorro Sigiloso,697878X,564751,RECHAZADO (Riesgo Salud/Financiero)
Lucho Ballena Veloz,689156X,114973,APROBADO
Coty Gato Salvage,376492X,525568,APROBADO
Francisco Nutria Salvage,680746X,93219,APROBADO
Coty Gato Rojo,714752X,837549,APROBADO
Pepe Huemul Rojo,14782X,60714,APROBADO
Maria Leon Veloz,108226X,592205,RECHAZADO (Riesgo Salud/Financiero)
Sacha Perro Rojo,358278X,290760,RECHAZADO (Riesgo Salud/Financiero)
Francisco Ballena Audaz,79643X,704595,APROBADO
Maria Puma Veloz,85614X,307887,RECHAZADO (Riesgo Salud/Financiero)
Sacha Zorro Rojo,309749X,66262,APROBADO
Juan Leon Audaz,617299X,515345,RECHAZADO (Riesgo Salud/Financiero)
Pancha Nutria Sigiloso,338144X,877581,APROBADO
Pancha Condor Veloz,287546X,471902,APROBADO
Matias Puma Veloz,247841X,426213,RECHAZADO (Riesgo Salud/Financiero)
Pepe Puma Salvage,75296X,660244,APROBADO
Pancha Puma Rojo,705950X,376610,RECHAZADO (Riesgo Salud/Financiero)
Francisco Perro Sigiloso,729570X,455674,APROBADO
Maria Puma Rojo,190632X,434310,RECHAZADO (Riesgo Salud/Financiero)
Francisco Perro Salvage,154682X,788513,APROBADO
Matias Gato Salvage,710309X,618302,APROBADO
Lucho Huemul Audaz,216147X,593584,APROBADO
Pepe Puma Gigante,350162X,415957,RECHAZADO (Riesgo Salud/Financiero)
Lucho Nutria Sigiloso,383211X,371420,APROBADO
Coty Ballena Austral,452021X,266439,APROBADO
Juan Leon Austral,299116X,880878,APROBADO
Pepe Zorro Audaz,165690X,30699,APROBADO
Matias Huemul Audaz,427787X,453706,APROBADO
Pepe Ballena Sigiloso,559750X,66877,APROBADO
Matias Zorro Sigiloso,614522X,564523,APROBADO
Juan Leon Noble,266350X,150276,APROBADO
Coty Ballena Rojo,639809X,876300,APROBADO
Lucho Condor Noble,677933X,508900,APROBADO
Coty Ballena Audaz,9395X,879625,RECHAZADO (Riesgo Salud/Financiero)
Lucho Zorro Veloz,627627X,383691,APROBADO
Lucho Perro Salvage,537646X,663828,RECHAZADO (Riesgo Salud/Financiero)
Juan Nutria Salvage,563909X,307259,APROBADO
Francisco Huemul Veloz,294875X,18781,APROBADO
Juan Perro Austral,286435X,234934,RECHAZADO (Riesgo Salud/Financiero)
Pepe Puma Noble,623865X,865524,APROBADO
Matias Zorro Veloz,865379X,612449,APROBADO
Pancha Ballena Salvage,242904X,129075,APROBADO
Coty Zorro Sigiloso,160034X,439496,RECHAZADO (Riesgo Salud/Financiero)
Maria Leon Sigiloso,804490X,389364,APROBADO
Maria Perro Sigiloso,907017X,215359,RECHAZADO (Riesgo Salud/Financiero)
Lucho Gato Salvage,999630X,272947,APROBADO
Maria Ballena Salvage,232010X,517725,RECHAZADO (Riesgo Salud/Financiero)
Pepe Zorro Noble,310323X,343980,RECHAZADO (Riesgo Salud/Financiero)
Pancha Condor Noble,884545X,538238,APROBADO
Lucho Zorro Audaz,211067X,871256,APROBADO
Sacha Perro Audaz,16667X,700279,RECHAZADO (Riesgo Salud/Financiero)
Juan Leon Rojo,765837X,830283,APROBADO
Juan Puma Veloz,445059X,118422,APROBADO
Sacha Nutria Austral,292551X,880768,APROBADO
Maria Perro Veloz,331720X,736923,APROBADO
Lucho Condor Audaz,958998X,717777,APROBADO
Matias Ballena Salvage,462917X,59298,APROBADO
Maria Condor Sigiloso,658737X,242249,APROBADO
Francisco Puma Gigante,509429X,825448,APROBADO
Sacha Perro Noble,283459X,282013,APROBADO
Juan Ballena Veloz,677012X,224354,APROBADO
Sacha Zorro Sigiloso,964971X,183796,APROBADO
Lucho Ballena Sigiloso,899781X,178105,APROBADO
Pancha Puma Sigiloso,54992X,351246,APROBADO
Juan Condor Austral,733834X,127667,RECHAZADO (Riesgo Salud/Financiero)
Juan Puma Veloz,430717X,513250,APROBADO
Pepe Perro Audaz,962067X,731249,APROBADO
Juan Leon Salvage,597446X,552453,APROBADO
Juan Perro Gigante,515281X,350356,RECHAZADO (Riesgo Salud/Financiero)
Matias Condor Noble,573317X,382626,RECHAZADO (Riesgo Salud/Financiero)
Pepe Nutria Salvage,571477X,728857,APROBADO
Juan Ballena Austral,191548X,850942,APROBADO
Pepe Puma Rojo,235674X,728263,APROBADO
Matias Zorro Austral,741764X,318082,APROBADO
Matias Leon Rojo,869313X,592460,APROBADO
Sacha Perro Rojo,450691X,805389,RECHAZADO (Riesgo Salud/Financiero)
Pepe Zorro Gigante,494066X,585651,APROBADO
Sacha Puma Audaz,854975X,767503,APROBADO
Matias Ballena Noble,265017X,786151,RECHAZADO (Riesgo Salud/Financiero)
Juan Zorro Austral,390289X,474548,APROBADO
Coty Ballena Salvage,29895X,773660,APROBADO
Pepe Zorro Audaz,63308X,356121,RECHAZADO (Riesgo Salud/Financiero)
Pepe Nutria Austral,451405X,128368,APROBADO
Juan Ballena Noble,944717X,383701,APROBADO
Coty Puma Veloz,744142X,59671,APROBADO
Pancha Ballena Noble,813786X,121191,APROBADO
Pancha Ballena Austral,817554X,734057,APROBADO
Sacha Nutria Salvage,239027X,142352,APROBADO
Francisco Zorro Veloz,184208X,113528,APROBADO
Sacha Leon Austral,756895X,719864,APROBADO
Pepe Condor Gigante,562272X,704691,APROBADO
Lucho Puma Gigante,512294X,474235,APROBADO
Lucho Gato Austral,731767X,465021,APROBADO
Sacha Nutria Rojo,768506X,653166,RECHAZADO (Riesgo Salud/Financiero)
Pepe Condor Salvage,418811X,139184,APROBADO
Lucho Ballena Gigante,432702X,156808,APROBADO
Maria Leon Veloz,730051X,858509,RECHAZADO (Riesgo Salud/Financiero)
Lucho Nutria Audaz,340521X,767275,RECHAZADO (Riesgo Salud/Financiero)
Maria Perro Austral,266459X,91602,APROBADO
Maria Leon Salvage,355608X,203694,APROBADO
Francisco Leon Salvage,360311X,736665,APROBADO
Pepe Puma Salvage,713459X,695541,APROBADO
Pancha Puma Sigiloso,606485X,230466,APROBADO
Sacha Zorro Audaz,568774X,59835,APROBADO
Coty Perro Gigante,427000X,690304,APROBADO
Pepe Puma Salvage,19061X,400263,APROBADO
Pepe Ballena Audaz,814642X,29602,APROBADO
Francisco Ballena Noble,703280X,26813,APROBADO
Francisco Condor Salvage,595917X,886158,APROBADO
Sacha Gato Sigiloso,621412X,290450,APROBADO
Francisco Ballena Audaz,895896X,366102,APROBADO
Maria Zorro Audaz,43639X,686835,APROBADO
Pancha Zorro Rojo,837273X,18834,RECHAZADO (Riesgo Salud/Financiero)
Maria Zorro Sigiloso,87361X,539837,APROBADO
Matias Gato Rojo,772608X,655772,APROBADO
Pancha Ballena Austral,432906X,776608,APROBADO
Matias Leon Rojo,212457X,846230,APROBADO
Lucho Ballena Salvage,670000X,795777,RECHAZADO (Riesgo Salud/Financiero)
Matias Ballena Veloz,848532X,711313,RECHAZADO (Riesgo Salud/Financiero)
Juan Puma Austral,442962X,234583,APROBADO
Juan Huemul Austral,576656X,462566,APROBADO
Lucho Puma Gigante,389384X,202868,APROBADO
Francisco Ballena Audaz,452786X,643689,APROBADO
Matias Puma Audaz,627041X,637286,RECHAZADO (Riesgo Salud/Financiero)
Lucho Puma Sigiloso,956373X,693350,APROBADO
Sacha Perro Audaz,116653X,885906,APROBADO
Francisco Perro Noble,137135X,73077,RECHAZADO (Riesgo Salud/Financiero)
Pancha Zorro Veloz,825317X,400518,APROBADO
Coty Condor Audaz,34184X,441120,RECHAZADO (Riesgo Salud/Financiero)
Pancha Condor Sigiloso,13238X,322578,RECHAZADO (Riesgo Salud/Financiero)
Maria Ballena Noble,796022X,598549,APROBADO
Lucho Leon Veloz,589609X,484800,APROBADO
Maria Zorro Austral,273977X,834363,APROBADO
Maria Zorro Noble,558182X,741577,APROBADO
Sacha Huemul Veloz,900117X,172102,APROBADO
Matias Gato Austral,938357X,203416,APROBADO
Lucho Gato Noble,289622X,733435,APROBADO
Lucho Gato Rojo,643094X,708535,RECHAZADO (Riesgo Salud/Financiero)
Pepe Condor Austral,517109X,229664,APROBADO
Coty Huemul Sigiloso,126221X,432409,APROBADO
Francisco Nutria Noble,985319X,779731,APROBADO
Juan Condor Sigiloso,323765X,349875,RECHAZADO (Riesgo Salud/Financiero)
Matias Puma Salvage,806614X,515902,APROBADO
Francisco Zorro Salvage,596910X,654834,APROBADO
Coty Huemul Audaz,773701X,93405,APROBADO
Juan Gato Audaz,246638X,127319,APROBADO
Maria Zorro Sigiloso,319359X,291020,APROBADO
Juan Perro Austral,660578X,887281,APROBADO
Coty Leon Audaz,14542X,200792,APROBADO
Lucho Condor Salvage,455203X,800665,APROBADO
Maria Ballena Austral,251991X,249854,APROBADO
Juan Ballena Austral,863427X,129864,APROBADO
Juan Puma Sigiloso,823235X,353371,APROBADO
Pepe Gato Gigante,788541X,789617,APROBADO
Sacha Nutria Veloz,804159X,286165,APROBADO
Coty Zorro Gigante,452224X,597770,APROBADO
Pancha Nutria Veloz,659975X,184516,APROBADO
Maria Perro Rojo,312760X,65392,RECHAZADO (Riesgo Salud/Financiero)
Juan Ballena Audaz,213957X,626309,RECHAZADO (Riesgo Salud/Financiero)
Matias Condor Gigante,894425X,175325,RECHAZADO (Riesgo Salud/Financiero)
Coty Perro Rojo,599136X,711982,APROBADO
Francisco Leon Audaz,419434X,811415,APROBADO
Juan Gato Audaz,922480X,238069,APROBADO
Pancha Huemul Rojo,581083X,171150,RECHAZADO (Riesgo Salud/Financiero)
Juan Gato Salvage,82928X,609675,APROBADO
Matias Puma Gigante,235472X,728913,APROBADO
Francisco Zorro Salvage,793423X,852712,APROBADO
Coty Puma Noble,268920X,231650,APROBADO
Pancha Perro Sigiloso,96185X,780177,APROBADO
Matias Zorro Gigante,470518X,25785,APROBADO
Maria Huemul Veloz,711887X,514022,APROBADO
Sacha Huemul Noble,399871X,365616,APROBADO
Lucho Condor Audaz,605749X,94922,APROBADO
Sacha Puma Austral,262864X,302248,APROBADO
Matias Zorro Noble,695057X,707397,APROBADO
Pancha Ballena Gigante,1768X,766942,APROBADO
Lucho Gato Veloz,109281X,602426,APROBADO
Lucho Perro Audaz,151427X,746493,APROBADO
Sacha Ballena Sigiloso,491920X,858350,APROBADO
Juan Puma Salvage,494094X,722412,RECHAZADO (Riesgo Salud/Financiero)
Francisco Perro Austral,918470X,764831,APROBADO
Juan Perro Rojo,483386X,430205,APROBADO
Lucho Huemul Veloz,812358X,161934,APROBADO
Juan Gato Rojo,469937X,597526,APROBADO
Maria Zorro Sigiloso,973032X,51032,APROBADO
Pancha Gato Rojo,969730X,107901,APROBADO
Juan Huemul Gigante,443928X,630541,APROBADO
Sacha Gato Rojo,672252X,108350,APROBADO
Lucho Ballena Sigiloso,922521X,607637,APROBADO
Francisco Ballena Gigante,10506X,519955,APROBADO
Pancha Zorro Audaz,540501X,175418,APROBADO
Pancha Huemul Audaz,773594X,139719,APROBADO
Sacha Leon Gigante,799686X,700876,APROBADO
Sacha Nutria Salvage,145693X,377963,RECHAZADO (Riesgo Salud/Financiero)
Pepe Nutria Veloz,895176X,25933,APROBADO
Coty Gato Austral,534948X,360625,APROBADO
Pancha Leon Audaz,38921X,19051,RECHAZADO (Riesgo Salud/Financiero)
Matias Zorro Noble,359162X,870374,APROBADO
Matias Ballena Austral,211674X,510285,APROBADO
Maria Ballena Salvage,764579X,465052,APROBADO
Pepe Leon Noble,515784X,149372,APROBADO
Sacha Nutria Noble,843507X,754025,RECHAZADO (Riesgo Salud/Financiero)
Lucho Perro Gigante,375723X,250622,RECHAZADO (Riesgo Salud/Financiero)
Maria Gato Gigante,635427X,263873,APROBADO
Juan Gato Sigiloso,839713X,114367,APROBADO
Coty Leon Salvage,176157X,132496,APROBADO
Juan Huemul Rojo,607155X,411650,RECHAZADO (Riesgo Salud/Financiero)
Lucho Puma Rojo,17029X,836334,APROBADO
Sacha Puma Rojo,273038X,899445,RECHAZADO (Riesgo Salud/Financiero)
Juan Zorro Austral,522335X,250035,APROBADO
Pepe Puma Veloz,635105X,154947,APROBADO
Juan Nutria Sigiloso,233592X,130811,RECHAZADO (Riesgo Salud/Financiero)
Francisco Gato Noble,873953X,559741,APROBADO
Matias Gato Austral,177793X,624192,APROBADO
Matias Condor Austral,824696X,305374,APROBADO
Juan Zorro Noble,993354X,652716,APROBADO
Juan Zorro Sigiloso,480523X,716589,APROBADO
Juan Ballena Austral,105339X,670625,RECHAZADO (Riesgo Salud/Financiero)
Maria Puma Rojo,455375X,626511,APROBADO
Pancha Ballena Salvage,650736X,561668,APROBADO
Maria Huemul Audaz,339624X,828142,APROBADO
Sacha Zorro Veloz,588423X,301918,APROBADO
Matias Nutria Rojo,873417X,94281,APROBADO
Sacha Huemul Gigante,157993X,480871,APROBADO
Juan Condor Veloz,326268X,250918,APROBADO
Lucho Condor Austral,734379X,369928,APROBADO
Sacha Leon Austral,564098X,350012,APROBADO
Coty Gato Sigiloso,611937X,470359,APROBADO
Sacha Puma Rojo,731701X,765392,APROBADO
Pepe Gato Sigiloso,83298X,770908,APROBADO
Maria Huemul Salvage,51571X,381880,APROBADO
Coty Condor Audaz,848261X,672974,RECHAZADO (Riesgo Salud/Financiero)
Coty Ballena Salvage,588659X,541224,APROBADO
Juan Nutria Noble,161511X,449670,APROBADO
Juan Nutria Sigiloso,748421X,392669,APROBADO
Maria Zorro Austral,802320X,610078,APROBADO
Juan Condor Audaz,729877X,474926,APROBADO
Maria Gato Sigiloso,948713X,404355,APROBADO
Maria Huemul Audaz,666162X,722460,RECHAZADO (Riesgo Salud/Financiero)
Coty Puma Noble,439811X,416915,APROBADO
Matias Puma Austral,712826X,75242,RECHAZADO (Riesgo Salud/Financiero)
Coty Ballena Salvage,133975X,399383,RECHAZADO (Riesgo Salud/Financiero)
Lucho Leon Noble,954209X,255007,APROBADO
Francisco Leon Rojo,946666X,464737,APROBADO
Pancha Ballena Sigiloso,561781X,430139,RECHAZADO (Riesgo Salud/Financiero)
Lucho Ballena Audaz,708383X,635337,APROBADO
Matias Perro Sigiloso,910621X,760270,APROBADO
Matias Leon Rojo,37709X,540153,RECHAZADO (Riesgo Salud/Financiero)
Francisco Zorro Sigiloso,579784X,530849,APROBADO
Juan Perro Austral,174088X,591342,APROBADO
Pancha Huemul Audaz,447052X,745342,APROBADO
Matias Perro Rojo,32099X,461580,RECHAZADO (Riesgo Salud/Financiero)
Francisco Ballena Rojo,131718X,276939,APROBADO
Pepe Condor Salvage,544248X,152233,APROBADO
Lucho Nutria Salvage,650164X,239011,APROBADO
Juan Condor Gigante,488238X,870341,APROBADO
Juan Huemul Rojo,863331X,574575,APROBADO
Juan Zorro Noble,140873X,184476,APROBADO
Pancha Gato Austral,353608X,483894,RECHAZADO (Riesgo Salud/Financiero)
Coty Zorro Austral,336917X,147804,APROBADO
Pancha Ballena Veloz,790614X,176687,APROBADO
Pepe Puma Sigiloso,703194X,727736,APROBADO
Matias Zorro Sigiloso,292468X,316547,APROBADO
Matias Perro Austral,151984X,632915,APROBADO
Pancha Puma Salvage,494205X,253577,APROBADO
Juan Condor Audaz,490096X,402640,APROBADO
Pancha Zorro Veloz,501292X,388507,APROBADO
Pepe Gato Gigante,479132X,761663,APROBADO
Sacha Huemul Austral,521068X,430862,APROBADO
Matias Perro Gigante,333532X,590025,APROBADO
Pepe Perro Gigante,2774X,882675,RECHAZADO (Riesgo Salud/Financiero)
Lucho Nutria Audaz,699527X,693005,APROBADO
Juan Ballena Audaz,33253X,538548,RECHAZADO (Riesgo Salud/Financiero)
Pancha Gato Gigante,881485X,205590,RECHAZADO (Riesgo Salud/Financiero)
Pancha Zorro Audaz,739303X,703416,RECHAZADO (Riesgo Salud/Financiero)
Juan Perro Salvage,810379X,155502,APROBADO
Francisco Zorro Audaz,582539X,392773,APROBADO
Maria Huemul Gigante,647587X,191417,APROBADO
Matias Zorro Rojo,973371X,639933,APROBADO
Pancha Nutria Rojo,575456X,200579,APROBADO
Sacha Gato Sigiloso,277702X,437482,APROBADO
Francisco Perro Rojo,893305X,416384,APROBADO
Francisco Gato Salvage,774917X,594145,APROBADO
Matias Puma Rojo,763631X,698782,APROBADO
Lucho Perro Gigante,704754X,596017,RECHAZADO (Riesgo Salud/Financiero)
Pancha Ballena Noble,419289X,229419,RECHAZADO (Riesgo Salud/Financiero)
Coty Condor Gigante,491862X,837534,APROBADO
Pepe Perro Austral,69675X,856824,APROBADO
Juan Puma Salvage,711252X,252164,APROBADO
Sacha Zorro Audaz,290711X,59898,APROBADO
Lucho Gato Audaz,873443X,645888,APROBADO
Matias Huemul Veloz,407268X,354522,RECHAZADO (Riesgo Salud/Financiero)
Pancha Puma Sigiloso,620164X,638073,RECHAZADO (Riesgo Salud/Financiero)
Pepe Puma Audaz,281005X,707061,APROBADO
Sacha Nutria Austral,570723X,808887,RECHAZADO (Riesgo Salud/Financiero)
Maria Condor Gigante,354961X,865449,APROBADO
Pancha Zorro Salvage,140609X,191812,APROBADO
Coty Zorro Audaz,260538X,383736,RECHAZADO (Riesgo Salud/Financiero)
Sacha Perro Noble,582954X,593768,RECHAZADO (Riesgo Salud/Financiero)
Maria Huemul Austral,83126X,841930,APROBADO
Juan Gato Austral,886294X,183103,RECHAZADO (Riesgo Salud/Financiero)
Lucho Ballena Noble,498744X,440615,APROBADO
Francisco Perro Noble,34505X,746230,APROBADO
Sacha Condor Noble,791090X,772473,RECHAZADO (Riesgo Salud/Financiero)
Pancha Leon Austral,26089X,53921,RECHAZADO (Riesgo Salud/Financiero)
Matias Leon Noble,261261X,59529,APROBADO
Lucho Gato Gigante,669635X,341481,APROBADO
Maria Zorro Noble,879856X,245154,APROBADO
Juan Nutria Austral,350940X,483835,APROBADO
Pepe Puma Sigiloso,892109X,213496,APROBADO
Lucho Ballena Rojo,810235X,338550,APROBADO
Pancha Ballena Rojo,157933X,25235,APROBADO
Maria Zorro Rojo,543237X,234218,APROBADO
Matias Perro Audaz,106065X,776786,APROBADO
Francisco Puma Noble,310981X,96812,APROBADO
Sacha Leon Audaz,357941X,295841,APROBADO
Maria Zorro Gigante,74678X,729464,APROBADO
Sacha Leon Austral,758866X,552072,RECHAZADO (Riesgo Salud/Financiero)
Lucho Perro Salvage,578933X,316954,RECHAZADO (Riesgo Salud/Financiero)
Coty Perro Audaz,361722X,134523,APROBADO
Pancha Zorro Gigante,947413X,589668,APROBADO
Coty Leon Sigiloso,460855X,738853,APROBADO
Maria Puma Rojo,555009X,47729,APROBADO
Francisco Zorro Noble,648553X,321433,APROBADO
Matias Condor Sigiloso,27276X,824535,APROBADO
Pepe Gato Veloz,10919X,34189,APROBADO
Maria Gato Veloz,468030X,275447,APROBADO
Coty Puma Austral,469635X,787994,APROBADO
Pancha Huemul Gigante,767705X,867878,APROBADO
Coty Gato Austral,309924X,723357,APROBADO
Maria Leon Audaz,763644X,720822,APROBADO
Francisco Gato Salvage,732166X,327635,APROBADO
Coty Leon Rojo,964259X,526487,RECHAZADO (Riesgo Salud/Financiero)
Sacha Ballena Veloz,269295X,600647,APROBADO
Matias Huemul Veloz,974801X,258359,APROBADO
Lucho Ballena Rojo,300298X,580705,APROBADO
Sacha Zorro Salvage,618784X,763713,RECHAZADO (Riesgo Salud/Financiero)
Juan Perro Noble,246818X,354568,APROBADO
Coty Gato Rojo,351550X,145074,APROBADO
Francisco Zorro Sigiloso,850608X,757193,RECHAZADO (Riesgo Salud/Financiero)
Coty Nutria Audaz,102873X,310184,RECHAZADO (Riesgo Salud/Financiero)
Maria Ballena Gigante,718630X,442925,APROBADO
Sacha Puma Noble,774375X,344242,APROBADO
Coty Puma Salvage,191826X,345283,APROBADO
Francisco Zorro Veloz,693549X,314901,APROBADO
Coty Huemul Rojo,177556X,831408,APROBADO
Pancha Condor Sigiloso,459632X,861398,APROBADO
Francisco Puma Audaz,461415X,438848,APROBADO
Francisco Ballena Gigante,329614X,708860,RECHAZADO (Riesgo Salud/Financiero)
Juan Huemul Audaz,607174X,269806,APROBADO
Pancha Condor Austral,980931X,483017,RECHAZADO (Riesgo Salud/Financiero)
Matias Puma Gigante,157413X,517431,RECHAZADO (Riesgo Salud/Financiero)
Maria Nutria Noble,173865X,310784,APROBADO
Coty Nutria Salvage,937968X,819085,RECHAZADO (Riesgo Salud/Financiero)
Juan Puma Rojo,956551X,677740,APROBADO
Coty Zorro Austral,26247X,494820,APROBADO
Juan Huemul Sigiloso,647447X,37027,APROBADO
Matias Leon Rojo,433658X,261145,APROBADO
Maria Gato Veloz,980698X,623214,APROBADO
Coty Huemul Veloz,560942X,348201,APROBADO
Sacha Huemul Gigante,879535X,355123,APROBADO
Francisco Puma Rojo,279232X,620225,APROBADO
Sacha Leon Veloz,646967X,26874,APROBADO
Lucho Condor Noble,914628X,137864,APROBADO
Coty Perro Austral,721153X,93070,APROBADO
Juan Huemul Gigante,897759X,700847,APROBADO
Matias Puma Veloz,421682X,573511,APROBADO
Coty Puma Veloz,895990X,796342,RECHAZADO (Riesgo Salud/Financiero)
Maria Perro Audaz,302913X,106012,APROBADO
Francisco Nutria Salvage,290316X,393445,APROBADO
Maria Condor Noble,360146X,157473,APROBADO
Coty Condor Audaz,45007X,272509,APROBADO
Juan Ballena Gigante,421054X,589192,APROBADO
Lucho Perro Rojo,968707X,306028,APROBADO
Juan Leon Sigiloso,553829X,332211,APROBADO
Pepe Perro Austral,521245X,137150,RECHAZADO (Riesgo Salud/Financiero)
Lucho Leon Austral,726755X,595934,APROBADO
Matias Gato Salvage,551945X,79603,APROBADO
Maria Ballena Rojo,892602X,271935,APROBADO
Lucho Leon Austral,100728X,231767,APROBADO
Matias Leon Audaz,7553X,236090,RECHAZADO (Riesgo Salud/Financiero)
Coty Leon Sigiloso,979952X,226264,APROBADO
Coty Leon Sigiloso,493016X,45858,APROBADO
Pepe Huemul Austral,535603X,863975,RECHAZADO (Riesgo Salud/Financiero)
Pancha Ballena Sigiloso,31265X,269961,APROBADO
Coty Huemul Audaz,917191X,22159,APROBADO
Juan Puma Rojo,226766X,165761,APROBADO
Pancha Ballena Audaz,428153X,782603,APROBADO
Juan Nutria Audaz,581319X,335612,APROBADO
Francisco Ballena Austral,882405X,311313,APROBADO
Francisco Puma Rojo,514113X,717015,RECHAZADO (Riesgo Salud/Financiero)
Juan Nutria Austral,295589X,99442,RECHAZADO (Riesgo Salud/Financiero)
Lucho Gato Audaz,395151X,472922,RECHAZADO (Riesgo Salud/Financiero)
Juan Gato Gigante,966791X,710319,APROBADO
Francisco Leon Veloz,465417X,399275,APROBADO
Francisco Condor Veloz,6263X,284087,APROBADO
Maria Zorro Rojo,83538X,446618,RECHAZADO (Riesgo Salud/Financiero)
Matias Condor Rojo,967416X,365149,APROBADO
Maria Leon Austral,451340X,422767,APROBADO
Matias Zorro Audaz,699505X,42396,APROBADO
Matias Gato Rojo,246087X,166249,RECHAZADO (Riesgo Salud/Financiero)
Matias Puma Gigante,734428X,499164,APROBADO
Lucho Ballena Salvage,90425X,205822,APROBADO
Matias Puma Veloz,230007X,692813,APROBADO
Pancha Condor Noble,788437X,232831,APROBADO
Coty Condor Sigiloso,13375X,475021,APROBADO
Pepe Ballena Rojo,649705X,444983,APROBADO
Maria Ballena Veloz,407619X,406510,APROBADO
Pancha Huemul Salvage,469022X,810473,APROBADO
Maria Nutria Veloz,214305X,370154,RECHAZADO (Riesgo Salud/Financiero)
Francisco Zorro Austral,790646X,573553,APROBADO
Maria Leon Veloz,24072X,429281,APROBADO
Matias Huemul Sigiloso,328633X,434661,APROBADO
Coty Perro Rojo,528567X,273741,APROBADO
Lucho Nutria Salvage,650165X,597462,APROBADO
Lucho Leon Sigiloso,471697X,869599,APROBADO
Juan Leon Gigante,707811X,232827,APROBADO
Matias Leon Rojo,520326X,743866,APROBADO
Maria Nutria Audaz,63711X,212433,APROBADO
Pancha Huemul Rojo,328566X,121580,RECHAZADO (Riesgo Salud/Financiero)
Francisco Ballena Veloz,987824X,302221,APROBADO
Lucho Ballena Sigiloso,365696X,697202,APROBADO
Sacha Puma Salvage,552667X,415489,APROBADO
Francisco Ballena Noble,110512X,65481,RECHAZADO (Riesgo Salud/Financiero)
Lucho Gato Sigiloso,945445X,216434,APROBADO
Pancha Condor Audaz,315745X,870993,RECHAZADO (Riesgo Salud/Financiero)
Coty Gato Sigiloso,551317X,178302,APROBADO
Pepe Nutria Sigiloso,640200X,640554,APROBADO
