Propietario,ID_Asociado,Modelo_Robot,Datos_Biometricos,Grabacion_Activa,Cifrado_Punto_a_Punto,Alerta_Sesgo_Algoritmico,Integracion_Holding
Usuario 6107,8607X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6108,2004X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6109,5865X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6110,5269X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6111,2145X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6112,3926X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6113,7052X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6114,8572X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6115,1697X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6116,7652X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6117,8793X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6118,6444X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6119,9191X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6120,6954X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6121,9160X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6122,8610X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6123,1457X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6124,5346X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6125,8195X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6126,1344X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6127,3449X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6128,4809X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6129,6823X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6130,2810X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6131,1059X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6132,9764X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6133,3600X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6134,3743X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6135,6428X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6136,7974X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6137,3406X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6138,9766X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6139,6241X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6140,6098X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6141,3147X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6142,5035X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6143,3262X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6144,6003X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6145,4318X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6146,3325X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6147,4693X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6148,5726X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6149,1658X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6150,6057X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6151,7519X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6152,9818X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6153,1144X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6154,8819X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6155,6356X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6156,6230X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6157,7900X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6158,9236X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6159,7718X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6160,8767X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6161,7168X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6162,5051X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6163,9233X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6164,5032X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6165,3432X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6166,2787X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6167,3120X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6168,9885X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6169,8456X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6170,8159X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6171,1844X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6172,8309X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6173,5722X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6174,7666X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6175,2925X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6176,2974X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6177,6177X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6178,4050X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6179,9192X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6180,1089X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6181,2281X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6182,3815X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6183,9565X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6184,4307X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6185,6657X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6186,4403X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6187,6792X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6188,4869X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6189,5497X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6190,4106X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6191,5169X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6192,7224X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6193,6996X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6194,2168X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6195,8097X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6196,1972X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6197,4090X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6198,4406X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6199,8992X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6200,9798X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6201,4427X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6202,4506X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6203,9017X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6204,6622X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6205,5745X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6206,1752X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6207,8137X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6208,9972X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6209,7610X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6210,7105X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6211,5386X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6212,4431X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6213,1867X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6214,8327X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6215,4447X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6216,9351X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6217,7769X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6218,3519X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6219,2019X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6220,9592X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6221,1021X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6222,4310X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6223,2217X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6224,2443X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6225,6048X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6226,2531X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6227,4116X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6228,7081X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6229,4635X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6230,2461X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6231,1005X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6232,6512X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6233,6183X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6234,9779X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6235,3276X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6236,7620X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6237,5645X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6238,8135X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6239,7969X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6240,6229X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6241,4248X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6242,3906X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6243,4374X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6244,1778X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6245,3599X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6246,1717X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6247,7054X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6248,4127X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6249,3618X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6250,8185X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6251,3699X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6252,1421X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6253,2747X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6254,2194X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6255,6835X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6256,2299X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6257,3393X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6258,1576X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6259,9083X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6260,5590X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6261,7231X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6262,9315X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6263,5790X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6264,6714X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6265,2959X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6266,5797X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6267,3516X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6268,1237X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6269,6168X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6270,3181X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6271,2214X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6272,5170X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6273,6099X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6274,3111X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6275,5336X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6276,3232X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6277,9133X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6278,6953X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6279,5244X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6280,8723X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6281,2919X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6282,3751X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6283,4284X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6284,5445X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6285,7889X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6286,4091X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6287,4218X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6288,4181X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6289,9395X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6290,4094X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6291,3166X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6292,1705X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6293,4767X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6294,4013X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6295,7242X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6296,1023X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6297,6906X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6298,1698X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6299,6836X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6300,1677X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6301,2764X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6302,8253X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6303,8121X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6304,7116X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6305,5930X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6306,8513X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6307,2362X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6308,5835X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6309,6518X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6310,3941X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6311,8136X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6312,2573X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6313,9847X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6314,5387X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6315,3974X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6316,2419X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6317,3351X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6318,4134X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6319,5942X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6320,1060X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6321,9096X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6322,3148X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6323,3726X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6324,5703X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6325,7146X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6326,4310X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6327,8171X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6328,2287X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6329,3974X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6330,7160X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6331,8716X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6332,5263X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6333,2850X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6334,1525X,Guardian-Eye (Seguridad),Facial y Voz,Desactivado,Si,Si,Vinculado-OmniSalud
Usuario 6335,2276X,EduPlay-Nano (Niños),Facial y Voz,Activado,Si,Si,Vinculado-OmniSalud
Usuario 6336,5531X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6337,6770X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6338,5401X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,No,Vinculado-OmniSalud
Usuario 6339,3646X,Guardian-Eye (Seguridad),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
Usuario 6340,1351X,EduPlay-Nano (Niños),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6341,7120X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6342,6175X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,No,Si,Vinculado-OmniSalud
Usuario 6343,4609X,DomestiBot-V3 (Asistente),Facial y Voz,Activado,No,No,Vinculado-OmniSalud
Usuario 6344,4570X,Guardian-Eye (Seguridad),Facial y Voz,Activado,Si,No,Vinculado-OmniSalud
Usuario 6345,2638X,DomestiBot-V3 (Asistente),Facial y Voz,Desactivado,Si,No,Vinculado-OmniSalud
Usuario 6346,6424X,EduPlay-Nano (Niños),Facial y Voz,Activado,No,Si,Vinculado-OmniSalud
